GEOID10,total_pop,median_age,pct_hispanic,pct_white,pct_black,pct_asian,pct_male,pct_single_family_home,med_home_value,med_rooms_per_home,pct_built_before_1940,pct_renting,rental_vacancy_rate,avg_renter_household_size,med_gross_rent,med_household_income,mean_commute_time,pct_commute_drive_alone,pct_below_poverty,pct_college_grad_student,pct_same_residence_year_ago,pct_bachelors_degree,pct_english_only,pct_foreign_born
6037910714,3999,28.2,81.2,8.5,8.5,36,47.3,97.5,183000,5.6,0,37.8,3.4,4.86,1414 (USD),"$57,664 ",50.2,70.3,13.7,23.4,85.1,8.6,34.5,33.6
6037910711,7932,32,66.1,16.1,10.3,474,55.3,72,149000,5.1,0,31.2,0,3.93,1241 (USD),"$44,911 ",42,77,21.4,21.4,88.6,9.7,49.9,28.7
6037910606,3515,28.4,75.4,11.3,8.6,115,48.1,100,186300,5.6,0,28.5,0,4.21,1494 (USD),"$46,848 ",43.1,68.1,27.3,22.1,83,10.4,40.1,30.9
6037910605,4613,28.6,69.5,12.6,10.6,273,45.7,77.6,198200,5.1,0,42.3,0,4.16,1334 (USD),"$51,250 ",48.4,79.7,17.9,22.9,85.9,3.9,61.9,24.8
6037701402,6075,39.9,12,73.5,3.9,429,52.5,0,960700,3.2,8.9,94.5,0,1.5,1524 (USD),"$77,677 ",27.5,67.6,16.7,52.1,85.8,69.7,73.4,22.7
6037980015,514,31.8,23.2,14.6,40.5,40,62.8,11.8,,2.6,7.2,100,0,1.72,950 (USD),"$39,516 ",34.7,90.6,24,44.1,61.1,16.3,72.1,12.8
6037650401,4666,40.9,10.8,46.7,0,1687,47.5,86.5,682800,5.6,2.7,27.8,7,3.6,2357 (USD),"$125,903 ",24.9,84.3,6.6,27.4,89.6,43.1,63.4,23
6037650004,4136,35.5,20.4,27,5.9,1544,48.1,36.4,569700,4.3,1.3,55.9,1.8,2.56,1347 (USD),"$69,216 ",29.9,76.6,14.7,40.1,86,41.6,58.6,25.3
6037650003,3056,39.3,33.3,21.7,5.7,1000,49.1,35.6,573100,4.2,0.5,67.1,6.6,2.49,1257 (USD),"$50,850 ",23.7,89.1,13.6,40.9,85.2,26.4,51.3,32.3
6037621326,2954,43.1,12.4,75.7,1,175,51.6,14.1,1297900,3.9,7.2,76.9,5.6,1.62,1910 (USD),"$95,286 ",27.9,77.5,6.2,32.9,84.6,59.7,83.1,14.9
